metric,candidate,dataset,element,n,n_failed,mean,std,median,mad,bucket_0_0_1,bucket_0_1_0_2,bucket_0_2_0_3,bucket_0_3_0_4,bucket_0_4_0_5,bucket_0_5_0_6,bucket_0_6_0_7,bucket_0_7_0_8,bucket_0_8_0_9,bucket_0_9_1_0]
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/zero_shot/candidate.py,kaiser_clean,class_score,45,0,0.7480120287752438,0.10670240570952626,0.7631370535150708,0.08316212725920562,0,0,0,0,2,3,8,18,13,1
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/zero_shot/candidate.py,kaiser_clean,attribute_score,45,0,0.7802773217405783,0.12198485473805082,0.7949052886354986,0.09865412339256033,0,0,0,0,2,1,8,12,14,8
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/zero_shot/candidate.py,kaiser_clean,association_score,45,0,0.6727263451894635,0.12023507256010636,0.6840328600071277,0.09725287364352647,0,0,0,0,6,8,14,11,5,1
