source,strategy,model,model_id,dataset,element,n,n_failed,mean,std,median,mad,bucket_0_0.1,bucket_0.1_0.2,bucket_0.2_0.3,bucket_0.3_1.0
ai4se_benchmarkPaper,rule_based,-,,kaiser,class_score,2,0,0.4380414406678243,0.11531032104854827,0.4380414406678243,0.11531032104854827,0,0,0,2
ai4se_benchmarkPaper,rule_based,-,,kaiser,attribute_score,2,0,0.46427353494158696,0.05597633108987396,0.46427353494158696,0.05597633108987396,0,0,0,2
ai4se_benchmarkPaper,rule_based,-,,kaiser,association_score,2,0,0.3768332206957115,0.25375629761878843,0.3768332206957115,0.25375629761878843,0,1,0,1
ai4se_benchmarkPaper,rule_based,-,,reference,class_score,2,0,0.3140515075290311,0.04965391372109487,0.3140515075290311,0.04965391372109487,0,0,1,1
ai4se_benchmarkPaper,rule_based,-,,reference,attribute_score,2,0,0.37722675884141077,0.06206681729732097,0.37722675884141077,0.06206681729732097,0,0,0,2
ai4se_benchmarkPaper,rule_based,-,,reference,association_score,2,0,0.16664258780014524,0.020690472043233973,0.16664258780014524,0.020690472043233973,0,2,0,0
