metric,candidate,dataset,element,n,n_failed,mean,std,median,mad,bucket_0_0_1,bucket_0_1_0_2,bucket_0_2_0_3,bucket_0_3_0_4,bucket_0_4_0_5,bucket_0_5_0_6,bucket_0_6_0_7,bucket_0_7_0_8,bucket_0_8_0_9,bucket_0_9_1_0]
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/two_shot/candidate.py,kaiser_clean,class_score,3,0,0.8020573525012402,0.058840805190121304,0.7983554577118798,0.049229717123122,0,0,0,0,0,0,0,2,1,0
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/two_shot/candidate.py,kaiser_clean,attribute_score,3,0,0.8399858280011537,0.07509454593613507,0.8636858724394364,0.06766814888751131,0,0,0,0,0,0,0,1,1,1
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/two_shot/candidate.py,kaiser_clean,association_score,3,0,0.7135575763347758,0.05403328727990159,0.7165871611233238,0.04509316865812977,0,0,0,0,0,0,1,2,0,0
