metric,candidate,dataset,element,n,n_failed,mean,std,median,mad,bucket_0_0_1,bucket_0_1_0_2,bucket_0_2_0_3,bucket_0_3_0_4,bucket_0_4_0_5,bucket_0_5_0_6,bucket_0_6_0_7,bucket_0_7_0_8,bucket_0_8_0_9,bucket_0_9_1_0]
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/rule_based/candidate.py,reference_clean,class_score,8,0,0.31196932751869005,0.20404288637048093,0.33841297119115277,0.1678775971870335,2,0,1,2,1,2,0,0,0,0
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/rule_based/candidate.py,reference_clean,attribute_score,8,0,0.35347681268547515,0.22485711482288653,0.40669829474600677,0.18631762412808392,2,0,0,2,2,0,2,0,0,0
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/rule_based/candidate.py,reference_clean,association_score,8,0,0.21511852879619153,0.16233014267150905,0.17908054956316027,0.1428698572744315,2,3,0,2,1,0,0,0,0,0
