dataset,id,rel_kind,n,n_bound,pct_bound
kaiser,GasStation_TUW,dependency,0,0,0.0
kaiser,GasStation_TUW,association_class,0,0,0.0
kaiser,HelpingHands,association,7,4,57.14
kaiser,HelpingHands,directed,0,0,0.0
kaiser,HelpingHands,inheritance,5,1,20.0
kaiser,HelpingHands,composition,1,0,0.0
kaiser,HelpingHands,aggregation,0,0,0.0
kaiser,HelpingHands,dependency,0,0,0.0
kaiser,HelpingHands,association_class,0,0,0.0
kaiser,HomeForTheElderly,association,10,9,90.0
kaiser,HomeForTheElderly,directed,0,0,0.0
kaiser,HomeForTheElderly,inheritance,0,0,0.0
kaiser,HomeForTheElderly,composition,0,0,0.0
kaiser,HomeForTheElderly,aggregation,0,0,0.0
kaiser,HomeForTheElderly,dependency,2,1,50.0
kaiser,HomeForTheElderly,association_class,0,0,0.0
kaiser,HospitalHouseMD,association,6,5,83.33
kaiser,HospitalHouseMD,directed,0,0,0.0
kaiser,HospitalHouseMD,inheritance,0,0,0.0
kaiser,HospitalHouseMD,composition,0,0,0.0
kaiser,HospitalHouseMD,aggregation,0,0,0.0
kaiser,HospitalHouseMD,dependency,0,0,0.0
kaiser,HospitalHouseMD,association_class,0,0,0.0
kaiser,HotelBookingManagementSystem,association,6,6,100.0
kaiser,HotelBookingManagementSystem,directed,0,0,0.0
kaiser,HotelBookingManagementSystem,inheritance,5,2,40.0
kaiser,HotelBookingManagementSystem,composition,11,11,100.0
kaiser,HotelBookingManagementSystem,aggregation,0,0,0.0
kaiser,HotelBookingManagementSystem,dependency,0,0,0.0
kaiser,HotelBookingManagementSystem,association_class,0,0,0.0
kaiser,House,association,3,3,100.0
kaiser,House,directed,0,0,0.0
kaiser,House,inheritance,5,5,100.0
kaiser,House,composition,1,1,100.0
kaiser,House,aggregation,0,0,0.0
kaiser,House,dependency,2,2,100.0
kaiser,House,association_class,0,0,0.0
kaiser,Kinepolis,association,15,13,86.67
kaiser,Kinepolis,directed,0,0,0.0
kaiser,Kinepolis,inheritance,0,0,0.0
kaiser,Kinepolis,composition,0,0,0.0
kaiser,Kinepolis,aggregation,0,0,0.0
kaiser,Kinepolis,dependency,0,0,0.0
kaiser,Kinepolis,association_class,0,0,0.0
kaiser,LabTracker,association,9,8,88.89
kaiser,LabTracker,directed,0,0,0.0
kaiser,LabTracker,inheritance,2,0,0.0
kaiser,LabTracker,composition,0,0,0.0
kaiser,LabTracker,aggregation,0,0,0.0
kaiser,LabTracker,dependency,2,2,100.0
kaiser,LabTracker,association_class,0,0,0.0
kaiser,Louvre,association,7,6,85.71
kaiser,Louvre,directed,0,0,0.0
kaiser,Louvre,inheritance,0,0,0.0
kaiser,Louvre,composition,0,0,0.0
kaiser,Louvre,aggregation,0,0,0.0
kaiser,Louvre,dependency,0,0,0.0
kaiser,Louvre,association_class,0,0,0.0
kaiser,Menso,association,11,9,81.82
kaiser,Menso,directed,0,0,0.0
kaiser,Menso,inheritance,0,0,0.0
kaiser,Menso,composition,0,0,0.0
kaiser,Menso,aggregation,0,0,0.0
kaiser,Menso,dependency,0,0,0.0
kaiser,Menso,association_class,0,0,0.0
kaiser,Musicmatic,association,6,6,100.0
kaiser,Musicmatic,directed,0,0,0.0
kaiser,Musicmatic,inheritance,4,4,100.0
kaiser,Musicmatic,composition,0,0,0.0
kaiser,Musicmatic,aggregation,0,0,0.0
