metric,candidate,dataset,element,n,n_failed,mean,std,median,mad,bucket_0_0_1,bucket_0_1_0_2,bucket_0_2_0_3,bucket_0_3_0_4,bucket_0_4_0_5,bucket_0_5_0_6,bucket_0_6_0_7,bucket_0_7_0_8,bucket_0_8_0_9,bucket_0_9_1_0]
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/one_shot_btms/candidate.py,kaiser_clean,class_score,3,0,0.7809657142641026,0.031877619142159745,0.7891182714925633,0.02831635378258668,0,0,0,0,0,0,0,2,1,0
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/one_shot_btms/candidate.py,kaiser_clean,attribute_score,3,0,0.8571303255303936,0.05482051350196867,0.868615565247475,0.048095280720550436,0,0,0,0,0,0,0,1,1,1
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/one_shot_btms/candidate.py,kaiser_clean,association_score,3,0,0.60324828797609,0.08459478489728131,0.630000001585083,0.07623959939146728,0,0,0,0,1,0,2,0,0,0
