metric,candidate,dataset,element,n,n_failed,mean,std,median,mad,bucket_0_0_1,bucket_0_1_0_2,bucket_0_2_0_3,bucket_0_3_0_4,bucket_0_4_0_5,bucket_0_5_0_6,bucket_0_6_0_7,bucket_0_7_0_8,bucket_0_8_0_9,bucket_0_9_1_0]
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/cot/candidate.py,kaiser_clean,class_score,3,0,0.7230012767604101,0.1478349272009022,0.6742759794514253,0.13362458223377494,0,0,0,0,0,1,1,0,0,1
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/cot/candidate.py,kaiser_clean,attribute_score,3,0,0.8122105015038835,0.15573650381359355,0.8285185952339945,0.1322452886854735,0,0,0,0,0,0,1,0,1,1
metrik-4,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/AutomatedDomainModelling_zenodo/cot/candidate.py,kaiser_clean,association_score,3,0,0.5148464190256391,0.18369085628468887,0.47199967595253794,0.16221107964887316,0,0,0,1,1,0,0,1,0,0
