metric,candidate,dataset,element,n,n_failed,mean,std,median,mad,bucket_0_0_1,bucket_0_1_0_2,bucket_0_2_0_3,bucket_0_3_0_4,bucket_0_4_0_5,bucket_0_5_0_6,bucket_0_6_0_7,bucket_0_7_0_8,bucket_0_8_0_9,bucket_0_9_1_0]
metrik-2,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/dummy_candidate/candidate.py,reference_clean,class_score,8,0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0
metrik-2,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/dummy_candidate/candidate.py,reference_clean,attribute_score,8,0,0.375,0.4841229182759271,0.0,0.46875,5,0,0,0,0,0,0,0,0,3
metrik-2,/Users/vasiliy/Documents/GitHub/Automated-DomainModel-Benchmark/Candidates/dummy_candidate/candidate.py,reference_clean,association_score,8,0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,0
